fname,label,manually_verified
00044347.wav,Hi-hat,0
001ca53d.wav,Saxophone,1
002d256b.wav,Trumpet,0
0033e230.wav,Glockenspiel,1
00353774.wav,Cello,1
003b91e8.wav,Cello,0
003da8e5.wav,Knock,1
0048fd00.wav,Gunshot_or_gunfire,1
004ad66f.wav,Clarinet,0
0063ab88.wav,Computer_keyboard,0
006f2f32.wav,Hi-hat,1
0075d39c.wav,Keys_jangling,0
00780200.wav,Snare_drum,0
0079d310.wav,Writing,0
0091fc7f.wav,Cello,1
0097160c.wav,Laughter,1
00ad7068.wav,Laughter,0
00c5808a.wav,Tearing,0
00c82919.wav,Fart,0
00c934d7.wav,Laughter,1
00c9e799.wav,Oboe,0
00cb787c.wav,Flute,1
00ce569f.wav,Hi-hat,0
00d1fe46.wav,Cough,0
00d3bba3.wav,Telephone,1
00d40fa2.wav,Snare_drum,0
00d9fa61.wav,Flute,0
00e2b4cd.wav,Bark,1
00f88dc5.wav,Glockenspiel,1
00fbb28b.wav,Chime,0
00fcbab2.wav,Bass_drum,0
010aa387.wav,Fart,0
011a2185.wav,Cello,1
0120d246.wav,Bus,0
01235a12.wav,Squeak,0
01257aad.wav,Scissors,1
01302128.wav,Harmonica,0
013264d3.wav,Squeak,0
013c3135.wav,Clarinet,0
01506d76.wav,Scissors,0
015cf474.wav,Clarinet,0
0160d55e.wav,Gong,1
01638f61.wav,Writing,0
0172a2a5.wav,Microwave_oven,1
017ea24e.wav,Burping_or_eructation,0
01811e48.wav,Harmonica,0
0184c390.wav,Cello,0
018863f5.wav,Double_bass,0
018a10bb.wav,Double_bass,0
018b1df6.wav,Shatter,1
018d1dc4.wav,Hi-hat,0
0193042e.wav,Fireworks,0
01974c7c.wav,Hi-hat,0
019aae9d.wav,Fireworks,0
019d2a2c.wav,Bark,1
01a36643.wav,Tambourine,0
01a39e95.wav,Shatter,0
01a59a61.wav,Gong,0
01a59c11.wav,Harmonica,1
01a5dc85.wav,Double_bass,0
01b9f44a.wav,Telephone,1
01c2f88b.wav,Bass_drum,1
01d2475c.wav,Writing,0
01d4dafd.wav,Harmonica,1
01df7ada.wav,Shatter,0
01e723f5.wav,Harmonica,1
01ec7a01.wav,Tearing,0
01ee18fd.wav,Microwave_oven,1
01f2e70b.wav,Gunshot_or_gunfire,1
01fc4661.wav,Oboe,1
020eb9f6.wav,Bark,1
021f8009.wav,Fart,0
022092bc.wav,Keys_jangling,0
02267a1a.wav,Squeak,0
02274ee8.wav,Burping_or_eructation,0
022a3507.wav,Bus,1
022cc908.wav,Knock,1
0231b9f3.wav,Double_bass,0
02328c03.wav,Computer_keyboard,0
0236dccb.wav,Cowbell,0
023d3434.wav,Microwave_oven,0
0244bb9e.wav,Fireworks,0
024a193f.wav,Laughter,1
024c4c6d.wav,Bass_drum,1
024da466.wav,Tambourine,1
0256c2f2.wav,Keys_jangling,1
0259e5d2.wav,Hi-hat,0
025f3fd2.wav,Hi-hat,1
025f7eac.wav,Knock,1
0262817d.wav,Fart,0
0266774c.wav,Cowbell,0
027482e2.wav,Electric_piano,1
027aa77c.wav,Clarinet,1
027aee2a.wav,Fireworks,1
027cd3fd.wav,Meow,1
0286fc27.wav,Double_bass,1
029632ad.wav,Cello,0
029b22f3.wav,Keys_jangling,0
029ee867.wav,Gunshot_or_gunfire,1
02a3243a.wav,Telephone,1
02ac1057.wav,Flute,0
02c095b4.wav,Tearing,0
02c9a1f1.wav,Writing,0
02d367e4.wav,Clarinet,1
02d6b747.wav,Cough,1
02d7fba3.wav,Double_bass,0
02dbfc78.wav,Cello,0
02e9392e.wav,Tambourine,1
02eed858.wav,Harmonica,1
02f8e94d.wav,Clarinet,0
0313ea1a.wav,Flute,0
032f7280.wav,Drawer_open_or_close,0
03320f05.wav,Applause,0
0338f669.wav,Cello,0
034beca1.wav,Fireworks,0
034e4ffa.wav,Trumpet,0
0350156b.wav,Keys_jangling,0
0356dec7.wav,Acoustic_guitar,1
0356f2ab.wav,Tambourine,0
03586ad9.wav,Cowbell,0
03657d6d.wav,Shatter,0
03734652.wav,Squeak,0
0383c69d.wav,Chime,0
0395ba61.wav,Oboe,0
03a01285.wav,Knock,1
03b4aca1.wav,Meow,1
03bb1c33.wav,Glockenspiel,1
03bc8fbc.wav,Shatter,0
03cd971f.wav,Cowbell,0
03d00f38.wav,Knock,0
03d42e2e.wav,Double_bass,0
03e13ae7.wav,Trumpet,0
03e88255.wav,Electric_piano,0
03e9765d.wav,Drawer_open_or_close,0
03ed9ba8.wav,Oboe,0
03f38c68.wav,Hi-hat,0
03fc1f96.wav,Bass_drum,1
04076350.wav,Clarinet,0
04092b14.wav,Gong,0
041396a9.wav,Laughter,1
04186a03.wav,Violin_or_fiddle,1
04281949.wav,Tearing,0
0429828b.wav,Fireworks,0
04330b10.wav,Squeak,0
04335030.wav,Trumpet,0
043a5393.wav,Electric_piano,0
0446a487.wav,Snare_drum,1
0447d04d.wav,Laughter,0
04490642.wav,Trumpet,0
044be615.wav,Violin_or_fiddle,1
0450e72b.wav,Oboe,0
04562f7d.wav,Trumpet,0
0457d8bc.wav,Bark,0
0459f90f.wav,Squeak,1
04646cce.wav,Gong,0
047b3d34.wav,Cough,0
047f5b83.wav,Gong,0
0482a372.wav,Cello,0
048fb352.wav,Applause,0
0496718e.wav,Finger_snapping,1
04a19a27.wav,Writing,1
04a7003c.wav,Knock,1
04ab05a7.wav,Bark,0
04ad9aa5.wav,Knock,1
04b4009f.wav,Snare_drum,0
04b9a79a.wav,Clarinet,0
04cce777.wav,Burping_or_eructation,0
04d0cae4.wav,Knock,0
04d33fe7.wav,Shatter,0
04e82f46.wav,Bass_drum,0
04e8596a.wav,Violin_or_fiddle,0
0508f1e3.wav,Double_bass,0
051138fc.wav,Finger_snapping,1
0513cbfc.wav,Bass_drum,0
05149415.wav,Knock,1
05173c4d.wav,Bark,0
051f9935.wav,Fart,0
0526ac41.wav,Double_bass,0
052789c8.wav,Fireworks,1
05309a38.wav,Snare_drum,0
05388f6c.wav,Applause,0
05561612.wav,Cello,1
0556be76.wav,Violin_or_fiddle,1
0563ab6e.wav,Shatter,0
058b98f0.wav,Telephone,1
05a0ca60.wav,Gong,0
05a3154f.wav,Oboe,1
05a458a7.wav,Fireworks,0
05b76c07.wav,Saxophone,0
05bc162b.wav,Gunshot_or_gunfire,1
05c5ab94.wav,Squeak,0
05cc4425.wav,Shatter,0
05d0dfa7.wav,Oboe,0
05d54a68.wav,Trumpet,1
05d81cdf.wav,Acoustic_guitar,0
05e4028a.wav,Saxophone,1
05ecefbe.wav,Violin_or_fiddle,0
05ef46ec.wav,Double_bass,1
05f2c2a6.wav,Clarinet,1
06006fca.wav,Knock,0
0609bd9e.wav,Writing,0
060b8c30.wav,Computer_keyboard,0
060ba089.wav,Finger_snapping,1
060ca755.wav,Fart,0
060e13d6.wav,Trumpet,1
060fab76.wav,Electric_piano,1
061cf689.wav,Trumpet,0
